,Macro,Municipality,Changes in Apartment in a fewer than five storeys,% of Apartment in a fewer than five storeys Chg In Built Boundary,% of Apartment in a fewer than five storeys Chg In UGC,% of Apartment in a fewer than five storeys Chg In Transit Buffer
0,GTHA,City of Hamilton,1630.0,100.43,29.42,39.77
1,GTHA,City of Toronto,-290.0,74.64,151.56,527.35
2,GTHA,Region of Durham,2120.0,90.72,8.1,1.38
3,GTHA,Region of Halton,5315.0,70.96,2.89,10.89
4,GTHA,Region of Peel,3880.0,80.58,0.43,10.88
5,GTHA,Region of York,2665.0,71.99,-0.45,12.23
6,GTHA SubTotal, ,15320.0,79.37,2.42,3.1
7,Outer Ring,City of Brantford,665.0,98.76,27.06,0.0
8,Outer Ring,City of Guelph,1945.0,58.78,0.12,-0.41
9,Outer Ring,City of Kawartha Lakes,-65.0,-44.0,-0.0,-0.0
10,Outer Ring,City of Orillia,490.0,90.29,0.0,0.0
11,Outer Ring,City of Peterborough,1195.0,97.28,10.73,0.0
12,Outer Ring,County of Brant,210.0,44.58,0.0,0.0
13,Outer Ring,County of Dufferin,340.0,96.47,0.0,0.0
14,Outer Ring,County of Haldimand,125.0,56.53,0.0,0.0
15,Outer Ring,County of Northumberland,645.0,88.82,0.0,0.0
16,Outer Ring,County of Peterborough,35.0,75.86,0.0,0.0
17,Outer Ring,County of Simcoe,2285.0,61.99,0.0,0.95
18,Outer Ring,County of Wellington,635.0,43.33,0.0,0.0
19,Outer Ring,Region of Niagara,3095.0,84.76,10.2,4.87
20,Outer Ring,Region of Waterloo,5190.0,85.28,4.16,22.03
21,Outer Ring SubTotal, ,18540.0,78.93,5.42,7.09
22,Grand Total, ,33860.0,79.13,4.06,5.29
