,Macro,Municipality,Changes in Single detached house,% of Single detached house Chg In Built Boundary,% of Single detached house Chg In UGC,% of Single detached house Chg In Transit Buffer
0,GTHA,City of Hamilton,13325.0,48.68,0.1,-0.2
1,GTHA,City of Toronto,3615.0,140.41,-6.98,28.17
2,GTHA,Region of Durham,29505.0,56.44,-0.21,0.17
3,GTHA,Region of Halton,22130.0,33.68,1.23,1.88
4,GTHA,Region of Peel,36940.0,31.18,-0.24,3.98
5,GTHA,Region of York,54330.0,29.86,0.09,4.96
6,GTHA SubTotal, ,159845.0,39.67,-0.04,3.52
7,Outer Ring,City of Brantford,3480.0,35.1,0.17,0.0
8,Outer Ring,City of Guelph,3500.0,64.39,0.18,1.46
9,Outer Ring,City of Kawartha Lakes,2690.0,25.64,0.0,0.0
10,Outer Ring,City of Orillia,840.0,30.68,0.0,0.0
11,Outer Ring,City of Peterborough,2250.0,34.82,-0.19,0.0
12,Outer Ring,County of Brant,1225.0,15.04,0.0,0.0
13,Outer Ring,County of Dufferin,3780.0,34.91,0.0,0.0
14,Outer Ring,County of Haldimand,1760.0,19.47,0.0,0.0
15,Outer Ring,County of Northumberland,4120.0,23.3,0.0,0.0
16,Outer Ring,County of Peterborough,3460.0,3.4,0.0,0.0
17,Outer Ring,County of Simcoe,26410.0,25.14,0.0,-0.23
18,Outer Ring,County of Wellington,3525.0,19.61,0.0,0.0
19,Outer Ring,Region of Niagara,15000.0,43.87,0.05,0.19
20,Outer Ring,Region of Waterloo,17570.0,48.65,-0.16,-0.48
21,Outer Ring SubTotal, ,92900.0,34.48,-0.01,0.28
22,Grand Total, ,252745.0,37.76,-0.03,2.33
