,Municipality,2021 Portion in Built Boundary,2021 Portion in Urban Gowth Centre,2021 Portion in Transit Buffer,2021 Total private dwellings,2006 Portion in Built Boundary,2006 Portion in Urban Gowth Centre,2006 Portion in Transit Buffer,2006 Total private dwellings,Chg Portion in Built Boundary,Chg Portion in Urban Gowth Centre,Chg Portion in Transit Buffer,Chg Total private dwellings,Percent of Total private dwellings Chg In Built Boundary,Percent of Total private dwellings Chg In UGC,Percent of Total private dwellings Chg In Transit Buffer
0,City of Barrie,49952.47362220902,2661.2873835272217,3767.452341174503,57276.0,42057.46235084382,1692.5918843845418,3079.030798063569,46065.0,7895.011271365198,968.6954991426799,688.4215431109342,11211.0,70.0,9.0,6.0
1,City of Brantford,38549.1882289544,2181.385367749652,0.0,43269.0,33761.316973132394,1615.8895683441972,0.0,35475.0,4787.871255822007,565.4957994054546,0.0,7794.0,61.0,7.0,0.0
2,City of Guelph,51151.08146248849,2485.2951171797345,5438.346484901781,59746.0,40346.094335706875,1629.346191760457,4224.212537262397,44370.0,10804.987126781612,855.9489254192774,1214.1339476393841,15376.0,70.0,6.0,8.0
3,City of Hamilton,196821.0829995178,7305.676994008377,21200.089022600318,233564.0,170279.89869242662,5241.73089792206,17071.050586430352,193405.0,26541.18430709117,2063.946096086317,4129.038436169965,40159.0,66.0,5.0,10.0
4,City of Kawartha Lakes,10224.526393368247,0.0,0.0,38947.0,8400.323577235737,0.0,0.0,29395.0,1824.2028161325106,0.0,0.0,9552.0,19.0,0.0,0.0
5,City of Orillia,12754.261325064688,0.0,0.0,15428.0,10751.730248235046,0.0,0.0,12165.0,2002.5310768296422,0.0,0.0,3263.0,61.0,0.0,0.0
6,City of Peterborough,33634.44665532005,1576.2044882696794,0.0,38006.0,28741.549526289407,1341.0684043286506,0.0,31140.0,4892.89712903064,235.1360839410288,0.0,6866.0,71.0,3.0,0.0
7,City of Toronto,1251349.2163351548,254037.03700792792,547006.9933803113,1253238.0,965514.8330513027,120310.2446552563,376696.57508466113,969620.0,285834.38328385213,133726.79235267162,170310.41829565016,283618.0,101.0,47.0,60.0
8,County of Brant,4598.8348217376115,0.0,0.0,14778.0,4002.2618229652903,0.0,0.0,12220.0,596.5729987723212,0.0,0.0,2558.0,23.0,0.0,0.0
9,County of Dufferin,12052.026284933674,0.0,0.0,24388.0,9774.980226800413,0.0,0.0,18705.0,2277.046058133261,0.0,0.0,5683.0,40.0,0.0,0.0
10,County of Haldimand,6283.235163761215,0.0,0.0,20710.0,5393.881523806916,0.0,0.0,16260.0,889.3536399542982,0.0,0.0,4450.0,20.0,0.0,0.0
11,County of Northumberland,16329.588186770381,0.0,0.0,40638.0,13446.282015447305,0.0,0.0,31415.0,2883.3061713230763,0.0,0.0,9223.0,31.0,0.0,0.0
12,County of Peterborough,1297.1938206236862,0.0,0.0,35039.0,1089.4188878166271,0.0,0.0,22140.0,207.77493280705903,0.0,0.0,12899.0,2.0,0.0,0.0
13,County of Simcoe,53026.1779251753,0.0,1436.9481607361251,152383.0,37082.152809769446,0.0,1361.709950321968,97545.0,15944.025115405857,0.0,75.23821041415704,54838.0,29.0,0.0,0.0
14,County of Wellington,11755.765586626798,0.0,0.0,37541.0,9984.070827853428,0.0,0.0,29765.0,1771.6947587733703,0.0,0.0,7776.0,23.0,0.0,0.0
15,Region of Durham,194873.42545900808,5076.887054237093,7661.427875885491,250559.0,157080.98466801693,3754.8357718599937,5892.87993330647,193950.0,37792.44079099115,1322.0512823770996,1768.5479425790209,56609.0,67.0,2.0,3.0
16,Region of Halton,165739.86626638222,6682.319162810037,17659.0894894129,214322.0,138302.91680954106,4869.992267822436,13806.538359715021,156760.0,27436.94945684116,1812.326894987601,3852.5511296978802,57562.0,48.0,3.0,7.0
17,Region of Niagara,156244.2924519808,2563.462420193633,4283.788638100736,207926.0,133448.5792788914,1643.354728332979,3724.056378787672,168900.0,22795.713173089374,920.1076918606541,559.7322593130634,39026.0,58.0,2.0,1.0
18,Region of Peel,400958.53226633556,32242.952428596283,41954.435868507215,467970.0,334702.6645772991,20364.60707787644,33338.071910054736,356505.0,66255.86768903647,11878.345350719843,8616.363958452479,111465.0,59.0,11.0,8.0
19,Region of Waterloo,194828.37982610508,5161.984905042056,42170.69708913079,233253.0,153878.70850543675,2830.8010979968158,28424.160775115088,177255.0,40949.671320668334,2331.1838070452404,13746.536314015699,55998.0,73.0,4.0,25.0
20,Region of York,289295.7296004426,4071.969707559883,39415.071079269896,405863.0,229109.41797180005,1422.3471318780264,26956.543971814415,274960.0,60186.31162864252,2649.6225756818567,12458.52710745548,130903.0,46.0,2.0,10.0
